"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","231.6622298393328","59.13269436690626","4.721908316964448","-0.31197865973435573","0.02180000000000004","0.0258","0.017800000000000038","1300","0.00023606571513853746","0","0.00023606571513853746","0.00023606571513853746","","","true"
"1","246.74549537513457","256.07381718745285","4.81513590032656","-0.3097440319777085","0.03920000000000001","0.0416","0.036800000000000055","1300","0.00008833316755516173","0","0.00008833316755516173","0.00008833316755516173","1_0:0.004915679079086244","1_0:660","true"
"2","287.54567001438403","247.62572488825174","4.609655107492074","-0.3090875180776862","0.008000000000000007","0.010800000000000032","0.0052","1300","0.00024733559247479075","0","0.00024733559247479075","0.00024733559247479075","2_1:0.005147873523613733","2_1:660","true"
"3","294.04882805036016","342.30122229775407","4.875545985705616","-0.30968652168552707","0.03049999999999997","0.016800000000000037","0.0442","1300","0.00023793987631982668","0","0.00023793987631982668","0.00023793987631982668","3_2:0.010136321154687322","3_2:660","true"
"4","353.6256238493719","214.51522983556578","4.818175808974537","-0.3103713081153928","0.018299999999999983","0.025000000000000022","0.0116","1300","0.00013726219414786147","0","0.00013726219414786147","0.00013726219414786147","4_5:0.003463891931537344;4_3:0.0071513717139679855;4_15:0.005684198300893173","4_5:660;4_3:660;4_15:660","true"
"5","302.6978320092584","296.51371557912006","4.7341447892979165","-0.3114518235315779","0.006599999999999939","0.008000000000000007","0.0052","1300","0.00009986593274895707","0","0.00009986593274895707","0.00009986593274895707","","","true"
"6","284.11263185951606","66.1637641002499","4.876275766278119","-0.30918835047116894","0.009600000000000053","0.011","0.008199999999999985","1300","0.00017620655966596693","0","0.00017620655966596693","0.00017620655966596693","6_7:0.006047943390346644;6_5:0.004541639520789814","6_7:660;6_5:660","true"
"7","306.8028384879037","240.28932630424438","4.967524822898377","-0.30745739300983294","0.021399999999999975","0.022599999999999953","0.0202","1300","0.000286545188598479","0","0.000286545188598479","0.000286545188598479","7_8:0.006623140067899436","7_8:660","true"
"8","256.82012802540027","213.39585892262713","4.902345248208107","-0.30837827664687645","0.006099999999999994","0.0072","0.0050000000000000044","1300","0.00019881478304833587","0","0.00019881478304833587","0.00019881478304833587","8_9:0.006046998754466709","8_9:660","true"
"9","307.7665798232165","160.3904088377411","4.987235069122292","-0.3080310587566364","0.009000000000000008","0.00660000000000005","0.0114","1300","0.00015538465906589819","0","0.00015538465906589819","0.00015538465906589819","","","true"
"10","318.67967856143525","263.50884007035836","4.831534448410197","-0.3097434424405673","0.015100000000000002","0.0142","0.016000000000000014","1300","0.00017033036307806144","0","0.00017033036307806144","0.00017033036307806144","10_11:0.005606798025978577;10_9:0.004698858740095818","10_11:660;10_9:660","true"
"11","205.54076854155613","243.42610514672384","4.972305689737398","-0.307214316560019","0.1422","0.1418","0.14259999999999995","1300","0.0001364956595291579","0","0.0001364956595291579","0.0001364956595291579","11_12:0.004416676150965221","11_12:660","true"
"12","294.1725375233539","150.78025462089647","4.936319107472835","-0.3079608272575031","0.014499999999999957","0.01759999999999995","0.0114","1300","0.00016169391048393767","0","0.00016169391048393767","0.00016169391048393767","12_17:0.004695377707064158","12_17:660","true"
"13","337.22247471881496","108.38665789272522","5.005809502119509","-0.3067650398842775","0.01629999999999998","0.0114","0.021199999999999997","1300","0.00022463271593492774","0","0.00022463271593492774","0.00022463271593492774","13_12:0.005246733734721426","13_12:660","true"
"14","197.65111681920254","100.68439599691007","4.903344760967439","-0.308419961199297","0.01529999999999998","0.0146","0.016000000000000014","1300","0.00025286147249288976","0","0.00025286147249288976","0.00025286147249288976","14_0:0.007053805493000637;14_18:0.007774943195066691","14_0:660;14_18:660","true"
"15","159.03035570458306","43.11819865913211","4.947914953560998","-0.308052427832017","0.017099999999999893","0.0166","0.01759999999999995","1300","0.00017738093123007185","0","0.00017738093123007185","0.00017738093123007185","15_22:0.007058488798176582","15_22:660","true"
"16","252.46247816740504","15.660379475757216","4.9603281019871295","-0.3076594514774509","0.01849999999999996","0.01739999999999997","0.0196","1300","0.00025485904670075743","0","0.00025485904670075743","0.00025485904670075743","16_26:0.005803779375129964;16_8:0.004593396986787457","16_26:660;16_8:660","true"
"17","378.60527767495734","297.5049174995967","4.820823460371974","-0.30970435909943395","0.08550000000000002","0.12160000000000004","0.0494","1300","0.00045972715226232953","0","0.00045972715226232953","0.00045972715226232953","17_30:0.007590795717629106","17_30:660","true"
"18","122.02823258664387","92.72744739033531","4.788139278987067","-0.31063598977187784","0.09670000000000001","0.09819999999999995","0.0952","1300","0.00045806242048691213","0","0.00045806242048691213","0.00045806242048691213","18_19:0.006561037837546885","18_19:660","true"
"19","410.53893146948394","84.71043680067177","4.7469924322616","-0.31072395279331844","0.08360000000000001","0.08520000000000005","0.082","1300","0.00022120889745050497","0","0.00022120889745050497","0.00022120889745050497","","","true"
"20","266.42579915028745","222.15029521939894","4.862313786651259","-0.3090978906556921","0.011600000000000055","0.0128","0.010399999999999965","1300","0.0001864860826853465","0","0.0001864860826853465","0.0001864860826853465","20_33:0.025482672620114943;20_19:0.0037311682394867984","20_33:660;20_19:660","true"
"21","233.06342177913652","170.95055394689564","4.9664950331928335","-0.30694839478531033","0.008099999999999996","0.008600000000000052","0.0076","1300","0.00018916916351430162","0","0.00018916916351430162","0.00018916916351430162","21_20:0.003677821206679449;21_22:0.005042364367677826","21_20:660;21_22:660","true"
"22","77.10137311329015","90.58146728380923","5.038197876457438","-0.3065535436677073","0.019299999999999984","0.021399999999999975","0.0172","1300","0.00018883017702432604","0","0.00018883017702432604","0.00018883017702432604","22_23:0.0061547814740881","22_23:660","true"
"23","357.4217038310034","245.35522308531154","4.844974504703859","-0.309395699354676","0.011700000000000044","0.0158","0.007600000000000051","1300","0.000161464787665262","0","0.000161464787665262","0.000161464787665262","","","true"
"24","226.72490583159117","142.3992547874698","5.100790397005483","-0.3054983979252499","0.12850000000000006","0.0412","0.2158","1300","0.00015418380636456763","0","0.00015418380636456763","0.00015418380636456763","24_34:0.00620067097301108;24_23:0.005202582715228832","24_34:860;24_23:660","true"
"25","190.08125025686192","156.68417606460673","4.945232228281061","-0.3084275156167526","0.012399999999999967","0.007000000000000006","0.0178","1300","0.00020796470988552413","0","0.00020796470988552413","0.00020796470988552413","25_24:0.005302937270860925","25_24:660","true"
"26","269.0536733885782","173.62645298065414","4.854079644904046","-0.30976922795032275","0.010599999999999943","0.005600000000000049","0.0156","1300","0.00019635807313273632","0","0.00019635807313273632","0.00019635807313273632","26_25:0.013768447235607023","26_25:660","true"
"27","313.6921640514902","241.40844699445844","4.747574990089512","-0.31027519414312993","0.0605","0.0668","0.054200000000000026","1300","0.00016150262965948926","0","0.00016150262965948926","0.00016150262965948926","27_26:0.005294320817781556","27_26:660","true"
